count,mean,std,min,25%,50%,75%,max,feature_name
7888.0,0.7291103222898354,0.2125285444662889,0.0,0.5555555555555556,0.7777777777777778,0.8888888888888888,1.0,sim_rasa_manis
8803.0,0.2693526196877327,0.21199593683855722,0.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,1.0,diff_rasa_manis
7888.0,0.27922160243407707,0.22118794173973266,0.0,0.10000000000000009,0.3,0.49999999999999994,0.8,diff_sweetness_score
6301.0,0.4424694492937629,0.49671862549708423,0.0,0.0,0.0,1.0,1.0,diff_kafein_score
6301.0,0.5575305507062371,0.4967186254970842,0.0,0.0,1.0,1.0,1.0,sim_kafein_score
7226.0,0.014115693329642956,0.11797612759539552,0.0,0.0,0.0,0.0,1.0,prod_tekstur_HEAVY
4632.0,0.4781951640759931,0.49957825261320027,0.0,0.0,0.0,1.0,1.0,diff_tekstur_LIGHT
4642.0,0.4112451529513141,0.4921125353734173,0.0,0.0,0.0,1.0,1.0,diff_carbonated_score
3246.0,0.5286506469500925,0.49925537460347846,0.0,0.0,1.0,1.0,1.0,sim_tekstur_LIGHT
2502.0,0.09632294164668265,0.2146998603009664,0.0,0.0,0.0,0.0,1.0,avg_tekstur_HEAVY
1587.0,0.59294265910523,0.4914405811035001,0.0,0.0,1.0,1.0,1.0,sim_carbonated_score
915.0,0.4787891404284847,0.24657279614177705,0.0,0.28571428571428575,0.5,0.6666666666666667,1.0,taste_consistency
915.0,0.1681311475409836,0.17256624092788686,0.0,0.04000000000000001,0.1,0.25,0.6400000000000001,prod_sweetness_score
915.0,0.6617486338797814,0.34779895942486044,0.0,0.5,0.5,1.0,1.0,avg_kafein_score
915.0,0.27522094043041223,0.15876952805033456,0.0,0.16975308641975315,0.271604938271605,0.37345679012345684,0.8333333333333337,prod_harga
915.0,0.5243776563448694,0.14466557954525305,0.08333333333333334,0.4444444444444445,0.5277777777777778,0.6111111111111112,0.9166666666666669,avg_harga
1669.0,0.7859330270953997,0.18861908517440124,-2.220446049250313e-16,0.7222222222222221,0.8333333333333333,0.8888888888888888,1.0,sim_harga
