nama_minuman,rasa_asam,rasa_manis,rasa_pahit,rasa_gurih,rasa_netral,kafein_score,tingkat_kafein,tekstur_LIGHT,tekstur_CREAMY,tekstur_BUBBLY,tekstur_HEAVY,sweetness_score,carbonated_score,harga,original_harga
ESPRESSO,0.0,0.0,1.0,0.0,0.0,1.0,tinggi,1,0,0,0,0.0,0.0,0.16666666666666669,10000.00
AMERICANO,0.5714285714285715,0.0,0.9,0.0,0.16666666666666652,1.0,tinggi,1,0,0,0,0.0,0.0,0.4444444444444445,15000.00
CAPPUCCINO,0.42857142857142855,0.11111111111111112,0.8,0.0,0.33333333333333315,1.0,tinggi,1,0,0,0,0.2,0.0,0.4444444444444445,15000.00
SANGER,0.28571428571428575,0.4444444444444445,0.6,1.0,0.6666666666666669,1.0,sedang,1,0,0,0,0.5,0.0,0.4444444444444445,15000.00
MOCHACCINO,0.28571428571428575,0.3333333333333333,0.7,0.0,0.5000000000000002,1.0,tinggi,0,1,0,0,0.2,0.0,0.4444444444444445,15000.00
MACCHIATO,0.5714285714285715,0.4444444444444445,0.7,0.0,0.5000000000000002,1.0,tinggi,1,0,0,0,0.2,0.0,0.7222222222222223,20000.00
KOPI SUSU,0.0,0.6666666666666666,0.4,1.0,0.6666666666666669,1.0,sedang,0,1,0,0,0.5,0.0,0.4444444444444445,15000.00
KOPI SODA,0.0,0.22222222222222224,0.9,0.0,0.16666666666666652,1.0,tinggi,1,0,0,0,0.0,1.0,0.4444444444444445,15000.00
KOPI LEMON,1.0,0.22222222222222224,0.5,0.0,0.5000000000000002,1.0,sedang,1,0,0,0,0.0,0.0,0.6111111111111112,18000.00
KOPI GULA AREN,0.0,0.7777777777777778,0.4,0.5,0.5000000000000002,1.0,sedang,0,1,0,0,0.7,0.0,0.6111111111111112,18000.00
